"X";"Geo.mean";"Volatility";"maxDD";"maxTuW";"VaR";"CVaR"
"IWM";0.104876933617293;3.18401263579845;57.2591107441915;196;-4.73930127473835;-7.55597506392425
"IWF";0.143520610304382;2.48183854481347;50.6691859549677;215;-3.58995285757485;-5.98599650366078
"IWD";0.0758141191316675;2.661504953463;60.5459610027856;321;-3.70624729280692;-6.45300914009366
"IJH";0.139700986457436;2.90098802722739;54.4941992843977;181;-4.53030276539131;-6.94313218822904
"IJR";0.127667885495319;3.10222127330634;56.6612066612067;192;-4.67224911557086;-7.35403147181662
"IVW";0.143208270154949;2.39407338712907;48.7264215888751;219;-3.61976264604851;-5.70997259864824
"IVE";0.0657145990933028;2.70079294145769;61.6710244830045;325;-4.14868846362883;-6.62380686919845
"IWV";0.11034369481584;2.57142266317954;55.243051710774;267;-3.91235537399776;-6.17823656525802
"IYF";-0.0389253349227459;3.8059528312625;77.8655476014153;415;-5.63873446383568;-9.82005926950217
"IYZ";0.034328799071881;2.90472366462928;60.3142857142857;393;-4.25907311708431;-6.79720960560296
"IYR";0.0157218661629877;3.78275560584303;75.1824045680448;415;-5.27121364467286;-9.46064896512154
"IYE";0.0788053577774228;3.56080553278237;54.9654491609082;293;-5.17055849524135;-8.40129067362391
"IDU";0.0803764670839646;2.20162174436006;48.2566380043467;320;-3.31821991671076;-5.57916545545897
"IYH";0.203630996935455;2.17847604002209;39.0543864443837;170;-3.05394117070735;-4.95235048666036
"IYJ";0.115976319625766;3.04523308781161;61.3128311151311;265;-4.86786095035029;-7.23350976794866
"IYY";0.112759046637456;2.52913203797578;55.0498426023085;266;-3.73344344792768;-6.11571277403767
"IYM";0.0844973455655484;4.02039926421549;67.2814207650273;306;-5.73743048343119;-9.7528739310576
"IWN";0.0668490839675684;3.20154667279113;60.2691632533645;297;-4.83282667846337;-7.69166393452527
"IJJ";0.113920187505467;2.92782167567519;57.8078244486313;280;-4.70540253209365;-7.06664422119835
"IJT";0.150513818674325;3.0263612808467;55.8866764666577;167;-4.44234558744975;-7.1760040469207
"IWW";0.0751427009887395;2.68401453056681;60.5695228322217;320;-3.96485957210109;-6.49332047917701
"IWZ";0.143976272774582;2.50475318272464;51.3529184383455;214;-3.78518713997072;-6.04856022995328
"EZU";-0.0275909759050785;3.7947253326452;66.6771752837327;378;-6.21325915561535;-9.01590075324222
"IEV";0.000940502509072516;3.3694995936815;64.6067415730337;378;-5.53074526096521;-7.99613474812763
"MTK";0.143887465566039;2.99460332759358;54.8622248141128;163;-4.83537974754759;-7.31849825541305
"DGT";0.0120427449045835;2.61217384368837;56.7508499271492;381;-4.29353130858;-6.34321832645546
"IBB";0.336390245240836;2.88966258547488;32.401795735129;78;-4.23294394314669;-6.34541216721313
"IGM";0.17144736900041;2.81755170447474;52.4249061326658;162;-4.44761640798227;-6.76063846331243
"RWR";0.0423271205286735;4.00170446099674;75.6058481874625;415;-5.56786398852382;-9.88185735514509
"VTI";0.113286269127433;2.56881568530348;55.1546391752577;266;-4.03733328478246;-6.16029799472764
"IGV";0.192985569467274;2.98646341115258;48.2925018559762;150;-4.32759702810418;-6.75856241032137
"IWR";0.133362289423;2.88525673973626;57.1619454836986;259;-4.44210562950821;-7.13111970371207
"IWS";0.113931928927946;2.87403732123421;62.4748674830927;285;-4.2958992361828;-6.99085225685239
"IXC";0.0146849067011789;3.63144812228;56.3962264150944;350;-5.24389667587801;-8.74879426981748
"IXG";-0.0714955394516492;4.05709564422546;77.9171894604768;399;-5.93154347570443;-10.0895503059453
"IXJ";0.158562835561127;2.17825859729494;41.9563459983832;265;-2.96743013081988;-5.00669328053097
"LQD";0.0283269351739168;1.03863807578335;21.8116476225581;181;-1.50214172485074;-2.55141520169599
"IEF";0.0612760043867011;0.994589102441438;10.687638636822;125;-1.40121184765938;-2.12452002669222
"FEZ";-0.040396404412979;3.90240679515611;64.5042839657283;373;-6.36040344254016;-9.32697791526404
"FEU";-0.0366212562476043;3.28521916532409;63.4212427745665;377;-5.52678216233559;-7.93183823609146
"ADRE";0.0163562336022771;3.92205282468107;61.8619138259214;378;-6.59937932059763;-9.43354947688685
"ADRA";0.017968299369997;3.25885998669865;58.7542528133996;367;-5.33547931050989;-8.00021381659255
"ADRU";-0.00988168598288208;3.34415378202265;65.7272986051808;365;-4.98849789247736;-7.81594623197456
"EZA";0.0296719812274304;4.45765981153577;61.8134377038487;202;-6.35113460567278;-10.4269728971901
"EEM";0.0439934386877727;4.00744183295441;63.6788216274474;378;-5.88775831022952;-9.55759890659506
"RSP";0.135895290858756;2.85732101358524;59.8063413707993;265;-4.23429541312195;-6.84266314020155
"AGG";0.0247936516904135;0.597584119895627;9.34145633884537;140;-0.966042662392609;-1.37997650209014
"ONEQ";0.170726909043295;2.72577375722118;51.2871827526608;166;-4.39290000103503;-6.45184099611274
"DVY";0.0447106186498125;2.51900040242491;63.4712277910369;354;-4.06651622942206;-6.18462674201456
"TIP";0.0235884512501672;1.02298853346404;17.8467946396233;129;-1.342596615276;-2.35318190395729
"VO";0.135400175147105;3.07593000330491;59.1450933172788;272;-4.21741774291027;-7.26368617994715
"VB";0.131539652760893;3.15797342438029;59.0176817288802;186;-4.39716013328018;-7.49408534226569
"VUG";0.150460781259687;2.60236179133561;49.9475655430711;214;-3.44870614328026;-6.12062867178429
"VBK";0.153689428474979;3.23976066924265;57.7526356389818;160;-4.76590382279072;-7.80329114405401
"VBR";0.105271247255656;3.14922444466557;62.0488940628638;284;-4.74624539217261;-7.53645866349975
"VPU";0.08269564487009;2.21827791234143;47.0393648693351;319;-3.52732269596161;-5.48187044706849
"VDC";0.174249378485847;1.73379642203889;35.0244831338411;146;-2.4393481121781;-4.14455748682631
"VAW";0.113346441708706;3.60828636983205;62.7693909422176;268;-5.27414564978751;-8.76152223480062
"JKE";0.147634816181896;2.57352926301122;49.6369991933315;219;-4.3663001437522;-6.33607401982605
"JKD";0.129616026857282;2.3721179902033;50.1201345506968;248;-3.53453709038914;-5.8837204061073
"JKL";0.112409041332762;3.35710657079129;61.3528212100612;186;-4.90816734532388;-7.96950070508879
"JKF";0.0357871359960571;2.73157973744727;58.9015360813349;401;-4.23082151308434;-6.71066151550139
"JKG";0.15048582566719;2.92969854702607;56.5875657682809;189;-4.51053609769561;-7.05449366057873
"JKH";0.148322361096409;3.04410475287238;55.292519646842;166;-5.07725761616186;-7.42166014502831
"VNQ";0.0476753497708593;4.37223813595188;73.6143187066975;400;-6.6093433676613;-10.650765147735
"VDE";0.0699734152366682;3.89456935392051;56.7440787450016;292;-6.01380777405816;-9.47182996477927
"VIS";0.114596875265982;3.1422082545201;62.3175416133163;271;-5.217928435222;-7.72993396357051
"FXI";0.144100141533476;4.66205003363152;68.5132843414358;380;-6.98379612316568;-10.2019561032958
"IAU";0.125072127878201;2.85210626371538;38.9072847682119;184;-4.07604555281568;-6.2274506464068
"SLV";0.0290972097317432;4.83074076790198;66.3334847796456;203;-8.10434759490072;-11.1419433278794
"USO";-0.275650801402716;4.8030638323379;85.8662213237233;345;-7.64283685098846;-11.4133355540668
"SHY";0.013214810727713;0.196578722933389;2.53855278766312;292;-0.299295164952611;-0.459891922492792
"TLT";0.0827374928067171;2.01879891749773;27.055417700579;137;-3.00841650886564;-3.96203111536491
